Kanji,Meaning
山,やま。サン
川,かわ。セン
田,た。デン
日,ひ/び。ニチ
月,つき。ゲツ/カツ
火,ひ。カ
水,みず。スイ
木,き。ムク
金,かね。キン
土,つち。ド
一,ひとつ。イチ
ニ,ふたつ。ニ
三,みっつ。サン
四,よっつ。ヨン
五,いつつ。ゴ
六,むいつ。ロク
七,ななつ。シチ
八,やっつ。ハチ/ハッ
九,ここのつ。キュウ/ク
十,とお。ジュウ
百,ひゃく。ヒャク/ビャク/ピャク 
千,ち。セン/ゼン
万,まん。マン/バン
円,まる。エン
年,とし。ネン
上,うえ/あがる。ジョウ
下,した/さがる。カ/ゲ
中,なか。チュウ/-ジュウ
半,はん/ぶん。ハン
分,わける/わかる。ブン/フン/プン
人, ひと。ジン/ニン
子 ,こども。シ
女 ,おんな。ジョ
男,おとこ。 ダン/ナン
目,め。モク
口,くち/ぐち。コウ
耳,みみ。ジ
手,て。 シュ
足, あし たりる。ソク
力,ちから。ルョク/ルキ
父,ちち。フ
母,はは。ボ
先,さき。セン
生,うまれる/いきる。セイ
学,べんきょうする/まなび。ガク
校,がっこう。コウ
友,ともだち。ユウ
本,ほん/もと。ホン/ボン/ポン
毎 ,まい。マイ
何,なん/なに
