English,Japanese
eat,たべます
drink,のみます
inhale,すいます
smoke a cigarette,たばこをすいます
"see, look at, watch",みます
"hear, listen",ききます
read,よみます
write,かきます
buy,かいます
take (a photograph),とります
take a picture,しゃしんを　とります
do,します
meet,あいます
meet a friend,ともだちに　あいます
"a meal, cooked rice",ごはん
breakfast,あさごはん
lunch,ひるごはん
supper,ばんごはん
bread,パン
egg,たまご
meat,にく
fish,さかな
vegetable,やさい
fruit,くだもの
water,おみず/みず
"tea, green tea",おちゃ
black tea,こうちゃ
milk,ぎゅうにゅう
milk,ミルク
juice,ジュース
beer,ビール
"alcohol, Japanese rice wine",おさけ/さけ
video,ビデオ
movie,えいが
letter,てがみ
report,レポート
photograph,しゃしん
"store, shop",みせ
Restaurant,レストラン
garden,にわ
homework,しゅくだい
do homework,しゅくだいを　します
tennis,テニス
"soccer, football",サッカー
play soccer,サッカーを　します
cherry-blossom viewing,はなみ
go cherry-blossom viewing,はなみをします
what,なに
together,いっしょに
"a little while, a little bit",ちょっと
"always, usually",いつも
sometimes,ときどき
"after that, and then",それから
yes,ええ
that’s good,いいですね
I see,わかりました
Yes?,なんですか。
see you tommorrow,じゃ、またあした
