English,Japanese
"cut,slice",きります
send,おくります
give,あげます
receive,もらいます
lend,かします
borrow,かります
teach,おしえます
learn,ならいます
Make a telephone call,でんわをかけます
hand,て
chopsticks,おはし/はし
spoon,スプーン
knife,ナイフ
fork,フォーク
scissor,はさみ
personal computer,パソコン
mail,メール
fax,フャクス
word processor,ワープロー
New Year’s greeting card,ねんがじょう
punch,パンチ
stapler,ホっチキス
"scotch tape, clear adhesive tape",セロテープ
eraser,けしゴム
paper,かみ
"flower, blossom",はな
shirt,シャツ
"present, gift",プレゼント
"baggage, parcel",にもつ
money,おかね
ticket,きっぷ
christmas,クリスマス
my father,ちち
my mother,はは
someone else’s father,おとうさん
someone else’s mother,おかあさん
already,もう
not yet,まだ
"From now on, soon",これから
What a nice~,~すてきですね
"Excuse me, Anybody home?, May I come in?
(An expression used by visitors)",ごめんください
How nice of you to come?(lit. welcome),いらっしゃい
Do come in,どうぞおあがりください
"thank you, May I? (Lit. I’m afraid I’ll be disturbing you)",しつれいします
"Won’t you have~?, Would you like to have~?(used when offering something)",~いかがですか。
"Thank you, I accept (said before starting to eat or drink)",いただきます
"tour, trip",りょこう
make a trip,りょこうをします
"souvenir, present",おみやげ
Europe,ヨーロッパ
Spain,スパイン
