Japanese,English,Kanji
あそびます,"To play, enjoy oneself",遊びます
およぎます,To swim,泳ぎます
むかえます,"To welcome, meet",迎えます
つかれます,To get tired,疲れます
だします,To send (a letter),出します
はいります,To enter (a place),入ります
でます,"To go out, leave",出ます
かいものします,"To shop, do shopping",買い物します
しょくじします,To have a meal,食事します
さんぽします,To take a walk,散歩します
たいへん (な),"Tough, hard",大変 (な)
ほしい,To want (something),欲しい
さびしい,Lonely,寂しい
ひろい,"Wide, spacious",広い
せまい,"Narrow, small (space)",狭い
しやくしょ,City hall,市役所
プール,Pool,プール
かわ,River,川
けいざい,Economy,経済
びじゅつ,Fine arts,美術
つり,Fishing,釣り
かいぎ,"Meeting, conference",会議
とうろく,Registration,登録
しゅうまつ,Weekend,週末
～ごろ,Around ~ (time),～ごろ
なにか,Something,何か
どこか,Somewhere,どこか
