Japanese,English,,
つけます,turn on,,
けします,turn off,,
あけます,open,,
しめます,"close, shut",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
いそぎます,hurry,,
まちます,wait,,
もちます,hold,,
とります,"take,pass",,
てつだいます,help (with a task),,
よびます,call,,
はなします,"speak, call",,
つかいます,use,,
とめます,"stop, park",,
みせます,show,,
おしえます [じゅうしょ を-],tell [an address],,
すわります,sit down,,
たちます,stand up,,
はいります [きっさてん に-],enter [a cafe],,
でます [きっさてん を-],go out [of a cafe],,
あめ が ふります,rain,,
でんき,"electricity, light",,
イアコン,air conditioner,,
パスポ-ト,passport,,
なまえ,name,,
じゅうしょ,address,,
ちず,map,,
しお,salt,,
さとう,sugar,,
もんだい,"question, problem, trouble",,
こたえ,answer,,
よみかた,"how to read, way of reading",,
-かた,"how to, way of, ing",,
まっすぐ,straight,,
ゆうくり,"slow, leisurely",,
すぐ,immediately,,
また,again,,
おとで,later,,
もう すこし,a little more,,
もう,"more, another",,
みぎ,Right,,
まがります,to turn,,
