Japanese,English
おぼえます,memorise
わすれます,forget
なくします,lose
はらいます,pay
かえします,"give back,return"
でかけます,go out
ぬぎます,"take off(clothes, shoes etc.)"
もって いきます,take (something)
もって きます,bring (something)
しんぱいします,worry
ざんぎょうします,work overtime
じゅっちょうします,go on a business trip
のみます [くすり を-],take [medicine]
はいります [おふろ に-],take [a bath]
たいせつ,"important, precious"
だいじょうぶ,all right
あぶない,dangerous
きんえん,no smoking
[けんこう] ほけんしょう,[health] insurance card
ねつ,"temperature, fever"
びょうき,"illness, disease"
くすり,medicine
[お]ふろ,bath
うわぎ,"jacket, outerwear"
したぎ,underwear
のど,throat
いたいです,have a pain
かぜ,cold/flu
おだいじに,Take care of yourself
