 ます,Group,て Form,じしょ Form,ない Form,た Form,Verb
だい 4 か,,,,,,Lesson 4
おきます,"2 (looks  1, exception)",おきて,おきる,おきない,おきた,Wake up
ねます,2 (1 syllable / え line ),ねて,ねる,ねたい,ねた,Sleep
はたらきます,1 (き),はたらいて,はたらく,はたらかない,はたらいた,Work
やすみます,1 (に、び、み),やすんで,やすむ,やすまない,やすんだ,Rest
べんきょします,3 (きます、します),べんきょうして,べんきょする,べんきょうしない,べんきょうした,Study
おわります,1 (い、ち、り),おわって,おわる,おわらない,おわった,Finish
だい 5 か,,,,,,Lesson5
いきます,"1 (き, exception)",いって✅いいて❌,いく,いかない,いった,Go
きます,3 (きます、します),きて,くる,こない,きた,Come
かえります,1 (い、ち、り),かえって,かえる,かえらない,かえった,Return
だい 6 か,,,,,,Lesson 6
たべます,2 (1 syllable / え line ),たべて,たべる,たべない,たべた,Eat
のみます,1 (に、び、み),のんで,のむ,のまない,のんだ,Drink
すいます,1 (い、ち、り),すって,すう,すわない,すっだ,Smoke (a cigarette)
みます,2 (1 syllable / え line ),みて,みる,みない,みた,Watch/look
ききます,1 (き),きいて,きく,きかない,きいた,Hear
よみます,1 (に、び、み),よんで,よむ,よまない,よんだ,Read
かきます,1 (き),かいて,かく,かかない,かいた,Write
かいます,1 (い、ち、り),かって,かう,かわない,かった,Buy
とります,1 (い、ち、り),とって,とる,とらない,とった,Take [ a photograph ]
します,3 (きます、します),して,する,しない,した,do/play
あいます,1 (い、ち、り),あって,あう,あわない,あった,meet
だい 7 か,,,,,,Lesson 7
きります,1 (い、ち、り),きって,きる,きらない,きった,Cut/Slice
おくります,1 (い、ち、り),おくって,おくる,おくらない,おくった,Send
あげます,2 (1 syllable / え line ),あげて,あげる,あがない,あげた,Give
もらいます,1 (い、ち、り),もらって,もらう,もらわない,もらった,Receive
かします,1 (し),かして,かす,かさない,かした,Lend
かります,"2 (looks  1, exception)",かりて,かる,からない,かりた,Borrow
おしえます,2 (1 syllable / え line ),おしえて,おしえる,おしえない,おしえた,Teach
ならいます,1 (い、ち、り),ならって,ならう,ならわない,ならった,Learn
かけます,2 (1 syllable / え line ),かけて,かける,かけない,かげた,Make
だい 9 か,,,,,,Lesson 9
わかります,1 (い、ち、り),わかって,わかる,わからない,わかった,Understand
あります,1 (い、ち、り),あって,ある,ない,あった,Have
だい 10 か,,,,,,Lesson 10
あります,1 (い、ち、り),あって,ある,ない,あった,"Exist, be (inanimate)"
います,2 (1 syllable / え line ),いて,いる,いない,いた,"Exist, be (animate)"
だい 11 か,,,,,,Lesson 11
います,2 (1 syllable / え line ),いて,,,,Have [a child]
います,2 (1 syllable / え line ),いて,,,,"Stay, be [in Japan]"
かかります,1 (い、ち、り),かかって,,,,"Take, cost"
やすみます,1 (に、び、み),やすんで,,,,Take a day off
いってきます,1 (き),いっていて,,,,See you later
おねがします,3 (きます、します),おねがして,,,,Please
だい 13 か,,,,,,Lesson 13
あぞびます,1 (に、び、み),あぞんで,,,,"Enjoy, play"
およぎます,1 (ぎ),およいで,,,,Swim
むかえます,2 (1 syllable / え line ),むかえて,,,,"Go to meet, welcome"
つかれます,2 (1 syllable / え line ),つかれて,,,,Get tired
けっこんします,3 (きます、します),けっごんして,,,,Marry
かいものします,3 (きます、します),かいものして,,,,Shopping
しょくじします,3 (きます、します),しょきじして,,,,"Dine,have a meal"
さんぽします,3 (きます、します),さんぽして,,,,Take a walk
のどが　かわります,1 (い、ち、り),のどかかわって,,,,Get thirsty
おなかが　すきます,1 (き),おかながすいて,,,,Get hungry
だい 14 か,,,,,,Lesson 14
つけます,2 (1 syllable / え line ),つけて,,,,Turn on
けします,1 (し),けして,,,,Turn off
あけます,2 (1 syllable / え line ),あけて,,,,Open
しめます,2 (1 syllable / え line ),しめて,,,,"Close, shut"
いそぎます,1 (ぎ),いそいで,,,,Hurry
まちます,1 (い、ち、り),まって,,,,Wait
もちます,1 (い、ち、り),とって,,,,Hold
とります,1 (い、ち、り),とって,,,,"Take, pass"
てつだいます,1 (い、ち、り),てつだって,,,,Help (with a task)
よびます,1 (に、び、み),よんで,,,,Call
はなします,1 (し),はなして,,,,"Speak, talk"
つかいます,1 (い、ち、り),つかって,,,,Use
とめます,2 (1 syllable / え line ),とめて,,,,"Stop, park"
みせます,2 (1 syllable / え line ),みせて,,,,Show
おしえます,2 (1 syllable / え line ),おしえて,,,,Tell [an address]
すわります,1 (い、ち、り),すわりて,,,,Sit down
たちます,1 (い、ち、り),たって,,,,Stand up
はいります,1 (い、ち、り),はいって,,,,Enter [a cafe]
でます,2 (1 syllable / え line ),でて,,,,Go out [of a cafe]
ふります,1 (い、ち、り),ふって,,,,Rain
コピーします,3 (きます、します),コピーして,,,,Copy
だい 15 か,,,,,,Lesson 15
おきます,1 (き),おいて,,,,Put
つくります,1 (い、ち、り),つくって,,,,"Make, produce"
うります,1 (い、ち、り),うって,,,,Sell
しります,1 (い、ち、り),しって,,,,Get to know
すみます,1 (に、び、み),すんで,,,,Be going to live
けんきゆします,3 (きます、します),けんきゆして,,,,Do research
おもいだします,1 (し),おもいだして,,,,"Remember, recollect"
いらっしゃいます,1 (い、ち、り),いらっしゃって,,,,Be (honorific eq of います)
だい 16 か,,,,,,Lesson 16
のります,1 (い、ち、り),のって,,,,"ride, get on [ on a train]"
おります,2 (1 syllable / え line ),おりて,,,,get off
のりかえます,2 (1 syllable / え line ),のりかえて,,,,change
あびます,"2 (looks  1, exception)",あびて,,,,Take [ a shower]
いれます,2 (1 syllable / え line ),いれて,,,,"put in, insert"
だします,1 (し),だして,,,,"take out, hand in, send"
おろします,1 (し),おろして,,,,withdraw
